"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"860Z200US01610","ZCTA5 01610","51472","8738",
"860Z200US01611","ZCTA5 01611","109868","27389",
"860Z200US01612","ZCTA5 01612","134083","8023",
"860Z200US01701","ZCTA5 01701","137094","10908",
"860Z200US01702","ZCTA5 01702","82496","6602",
"860Z200US01718","ZCTA5 01718","104167","85632",
"860Z200US01719","ZCTA5 01719","144611","35275",
"860Z200US01720","ZCTA5 01720","159010","15432",
"860Z200US01721","ZCTA5 01721","127539","10749",
"860Z200US01730","ZCTA5 01730","172400","22941",
"860Z200US01731","ZCTA5 01731","104688","76436",
"860Z200US01740","ZCTA5 01740","205449","30733",
"860Z200US01741","ZCTA5 01741","250,000+","***",
"860Z200US01742","ZCTA5 01742","195125","22918",
"860Z200US01745","ZCTA5 01745","185994","48793",
"860Z200US01746","ZCTA5 01746","159817","8576",
"860Z200US01747","ZCTA5 01747","115722","19447",
"860Z200US01748","ZCTA5 01748","222801","21775",
"860Z200US01749","ZCTA5 01749","103400","12712",
"860Z200US01752","ZCTA5 01752","91968","9070",
"860Z200US01754","ZCTA5 01754","124067","16495",
"860Z200US01756","ZCTA5 01756","132256","32533",
"860Z200US01757","ZCTA5 01757","96621","4329",
"860Z200US01760","ZCTA5 01760","138563","11218",
"860Z200US01770","ZCTA5 01770","250,000+","***",
"860Z200US01772","ZCTA5 01772","201568","24128",
"860Z200US01773","ZCTA5 01773","209327","41508",
"860Z200US01775","ZCTA5 01775","185809","22387",
"860Z200US01776","ZCTA5 01776","236509","17362",
"860Z200US01778","ZCTA5 01778","219375","27685",
"860Z200US01801","ZCTA5 01801","111185","8940",
"860Z200US01803","ZCTA5 01803","146436","14210",
"860Z200US01810","ZCTA5 01810","172606","15526",
"860Z200US01821","ZCTA5 01821","149042","10391",
"860Z200US01824","ZCTA5 01824","140050","8680",
"860Z200US01826","ZCTA5 01826","114196","9890",
"860Z200US01827","ZCTA5 01827","208512","22907",
"860Z200US01830","ZCTA5 01830","78571","9844",
"860Z200US01832","ZCTA5 01832","83041","8250",
"860Z200US01833","ZCTA5 01833","153750","21716",
"860Z200US01834","ZCTA5 01834","141487","11528",
"860Z200US01835","ZCTA5 01835","113578","10106",
"860Z200US01840","ZCTA5 01840","42211","4406",
"860Z200US01841","ZCTA5 01841","56971","3734",
"860Z200US01843","ZCTA5 01843","67585","7263",
"860Z200US01844","ZCTA5 01844","113212","7104",
"860Z200US01845","ZCTA5 01845","140670","8507",
"860Z200US01850","ZCTA5 01850","69780","6619",
"860Z200US01851","ZCTA5 01851","92401","9825",
"860Z200US01852","ZCTA5 01852","80906","5690",
"860Z200US01854","ZCTA5 01854","72709","8322",
"860Z200US01860","ZCTA5 01860","123054","16062",
"860Z200US01862","ZCTA5 01862","138571","20812",
"860Z200US01863","ZCTA5 01863","144875","21725",
"860Z200US01864","ZCTA5 01864","147768","24518",
"860Z200US01867","ZCTA5 01867","165912","12806",
"860Z200US01876","ZCTA5 01876","130204","11851",
"860Z200US01879","ZCTA5 01879","129348","18405",
"860Z200US01880","ZCTA5 01880","134306","13946",
"860Z200US01886","ZCTA5 01886","187198","10347",
"860Z200US01887","ZCTA5 01887","168152","19029",
"860Z200US01890","ZCTA5 01890","230198","20670",
"860Z200US01901","ZCTA5 01901","36119","24645",
"860Z200US01902","ZCTA5 01902","67046","7396",
"860Z200US01904","ZCTA5 01904","99614","8339",
"860Z200US01905","ZCTA5 01905","84333","6628",
"860Z200US01906","ZCTA5 01906","101539","3481",
"860Z200US01907","ZCTA5 01907","134386","22662",
"860Z200US01908","ZCTA5 01908","112762","6430",
"860Z200US01913","ZCTA5 01913","103554","11632",
"860Z200US01915","ZCTA5 01915","104918","6091",
"860Z200US01921","ZCTA5 01921","200672","20037",
"860Z200US01922","ZCTA5 01922","142207","42133",
"860Z200US01923","ZCTA5 01923","125395","10105",
